text	label
how to make a consumer complaint for a service	complaint
I didn't receive my bills and I want to check them	check_invoices
I get an error message when I try to make a payment with card, what can I do?	payment_issue
I changed my mind, can you delete my online account?	delete_account
someone stole my account password, what do I have to do to recover it?	recover_password
i bought a product, could I modify my fucking purchase?	change_order
i got an error message when i tried to pay, but my card was charged anyway and i wanna inform of it	payment_issue
i havent got an online account, can u open one?	create_account
please, could u ask an agent if my order is on its way?	track_order
i dont have a shipping address, help me set one up	set_up_shipping_address
i want to update my shipping address	change_shipping_address
how do I see the status of my order?	track_order
I need an account, I need help creating one	create_account
I have an issue when trying to pay for my order, whta can I do to notify it?	payment_issue
I have a problem when trying to make a payment with card, can I notify it?	payment_issue
please, i want to know if i could create more than one profile with a single email address	create_account
tell me what the phone number of Client Service is	contact_customer_service
I'm discontent with the service, I need help making a complaint	complaint
i changed my mind, how do i delete my online account?	delete_account
please, could u ask an agent how I can see an invoice?	get_invoice
I want to request a bill	get_invoice
I want to view your money back guarantee, can you help me?	check_refund_policy
I didn't receiove my bill, help me view it	check_invoices
i have a problem when trying to make a payment with card and i wanna notify it	payment_issue
how can i notify a problem with my payment?	payment_issue
can u ask an agent how i can solve payment problems?	payment_issue
please, ask an agent to request a reimbursement	get_refund
I got an error when I tried to pay, but I was charged anyway, what can I do to notify it?	payment_issue
I have no shipping address, whjat do I haave to do to set it up?	set_up_shipping_address
I want to view the options for ticket delivery, what do I have to do?	delivery_options
I purchased an item and I wanna modify my order	change_order
i want to know if i can create more than one online account with a single email address	create_account
I want to modify my purchase before you send it	change_order
I want to view my invoices, what should I do?	check_invoices
I want information about obtaining some bills	get_invoice
someone stole my account password, help me retrieve it	recover_password
I want to use my other account, what do I have to do to switch them?	switch_account
I can't find my bill, can you view it?	check_invoices
polease, ask an aggent if I can solve issues making a payment	payment_issue
I want to see a bill, can you tell me where I can do it?	get_invoice
I have a problem when trying to pay with card, what can I do to inform of it?	payment_issue
i have an issue paying with card	payment_issue
I have a question, I need help speaking with Customer Support	contact_customer_service
I purchased something, could i modify my purchase?	change_order
where to create a user account	create_account
tel me if I can have more than one profile	create_account
I got an error message when I attempted to pay, but I was charged anyway and I want to inform of it	payment_issue
I haven't got an account, reister	create_account
i lost my invoices and i awnt to check them	check_invoices
I got a error message when I attempted to pay, but my card was charged anyway, can I notify it?	payment_issue
I want to know if my packages are on their way	track_order
can u ask an agent whats their reimbursement oplicy?	check_refund_policy
information about the cancellation penalty	check_cancellation_fee
i havent got a profile , what do i have to  do?	create_account
can u ask an agent how to report an issue making a payment?	payment_issue
I have an issue when trying to pay for my order and I want to notify it	payment_issue
the show was cancelled, can i request a refund?	get_refund
can i make an order?	place_order
I want to create a user acount, can you help me?	create_account
an error pops when I attempt to pay, what should I do?	payment_issue
can you find information about the email address of the Customer Service?	contact_customer_service
I purchased something , how can i change my order?	change_order
the show was postponed, help me obtain a refund	get_refund
I can't understand you, how do I speak with someone?	contact_human_agent
i have no online account, i need help opening one, please	create_account
help me get an invoice	get_invoice
ask an agent to switch to another profile	switch_account
I got an error when I attempted to pay, but my card was charged anyway, what should I do to report it?	payment_issue
I have an issue when trying to make a payment, can you help me?	payment_issue
how could I inform of problems paying?	payment_issue
my profile has been hacked and i want to get it back, please	recover_password
the event was postponed, what should i do to request a refund?	get_refund
I need information, how can I send an email to Customer Service?	contact_customer_service
i want to cancel a purchase, what can i do?	cancel_order
I want to view my bill, what can I do?	check_invoices
how do I solve an issue with my payment?	payment_issue
how do I track my package?	track_order
I want to know what the phone number of Client Service is	contact_customer_service
can you show me the phone number to contact Customer Service?	contact_customer_service
I want to retrieve my password	recover_password
I have an issue when trying to pay for my order, how can I report it?	payment_issue
I have an issue paying for my order, I need help informing of it	payment_issue
I have no shipping address, help me set it up	set_up_shipping_address
please, could you show me information about the email address of the Customer Service?	contact_customer_service
I can't find my invoices, how could I view them?	check_invoices
tell me if I can register two profiles with a single email	create_account
I can't remember my account password, can you help me?	recover_password
I want information, contact Client Service	contact_customer_service
I ordered a product, help me modify my purchase	change_order
please, could u ask an agent how i could notify an issue with my payment?	payment_issue
I want to view the status of my order, what should I do?	track_order
I can't understand you, help me talk to a person	contact_human_agent
tell me how to get a bill	get_invoice
I want a refund, how do  requesg one?	get_refund
please, can you ask an agent how to close my usder account?	delete_account
the show was cancelled, what do I have to do to obtain a refund?	get_refund
i dont understand you, talk to a human agent	contact_human_agent
i want to know if i can create two profiles with the same email	create_account
where can I cancel my user account?	delete_account
what can I get a reimbursement for?	get_refund
I need help placing an order	place_order
i have an issue when trying to pay for my order, what can i do to inform of it?	payment_issue
I want to know if I can check my shipments	track_order
I changed my mind, I need help deleting my account	delete_account
I want to track my order, what can I do?	track_order
I want to know the status of my refund , what can I do to track it ?	track_refund
i wanna inform of issues making a payment	payment_issue
could you ask an agent if I can update the information on my profile?	edit_account
can u ask an agent to show me information about the status of my purchase?	track_order
tell me how soon I can expect my tickets to arrive	delivery_period
talk to someone	contact_human_agent
I want to know where I can obtain a bill	get_invoice
i purchased a product, how could i modify my purchaes?	change_order
what can you tell me aboutt changing my purchase?	change_order
ask an agent how i could inform of a fucking issuepaying, please	payment_issue
I have no account, cann I register?	create_account
I want to see the number of Customer Support	contact_customer_service
how to call Client Service	contact_customer_service
I need information, what can I do to contact Customer Support?	contact_customer_service
how can I know wherr my hsipments are?	track_order
please, can u ask an agent how i could solve a payment issue?	payment_issue
I can't remember my password, recover it	recover_password
I do not want my user account, I need help closing ti, please	delete_account
how can i check the status of my order?	track_order
an error pops when I attempt to pay with card, what do I have to do?	payment_issue
an error message pops when I attempt to make a payment for my order, what can I do?	payment_issue
I get an error message when I try to pay, what should I do?	payment_issue
see an invoice	get_invoice
can u ask an agent where I can obtain an invoice?	get_invoice
I don't have an account, I need help creating one	create_account
i lost my invoice and i want to view it	check_invoices
can u ask an agent to reset my account password?	recover_password
how can I view my invoice?	check_invoices
I want to track my reimbursement, what should I do?	track_refund
I purchased an item, what do I have to do to modify my order?	change_order
I don't have an online account, can you open one?	create_account
ask an agent if I could report a fucking problem paiyng, please	payment_issue
can I check the options for delivery?	delivery_options
i wanna solve a payment issue, what do i have to do?	payment_issue
where can I see the cancellation penalties?	check_cancellation_fee
can you tell me where I can track my depivery?	track_order
I want to lodge a complaint fir a service, what do I have to do?	complaint
ask an agent how i can call customer support	contact_customer_service
show me the email of Customer Support	contact_customer_service
you aren't helping, can I talkto a human agent?	contact_human_agent
I would like to see the fucking email to contact Customer Support, please	contact_customer_service
I'm not happy with the service, how can I lodge a consumer complaint?	complaint
please , ask an agent whyere to see the cancellation fee	check_cancellation_fee
my user account has been hacked, what should i do to get it back?	recover_password
I got an error message when I attempted to pay, but my card was charged anyway, what do I have to do to inform of it?	payment_issue
I need information about getting an invoice	get_invoice
you're not helping, what do I have to  do to speak with a human?	contact_human_agent
i wanna see the mail address of the Customer Service	contact_customer_service
I want to know how to check my delivery	track_order
can I view your refund policy?	check_refund_policy
how can I inform of an issue with my payment?	payment_issue
I want to receive the newsletter, can youtell me where I can do it?	newsletter_subscription
I get an error message when I try to make a payment for my online order, can you help me?	payment_issue
where do i cancel my online account?	delete_account
how do I see my invoice?	check_invoices
hoow do I check my shipment?	track_order
I ordered a product, I need help modifying my order	change_order
the show was cancelled, what can I do to obtain a reimbursement?	get_refund
the fucking game was postponed, van you help me?	get_refund
registration problem	registration_problems
can u find information about your payment methods?	check_payment_methods
i need information, i need help calling customer service	contact_customer_service
I don't want my profile, can you delete it?	delete_account
I get an error message when I attempt to make a payment with card	payment_issue
you aren't helping, talk to a person	contact_human_agent
I don't have an onlinje account, how can I register?	create_account
i ordered a product, i nede help modifying my order	change_order
could u ask an agent how i can leave a fucking review, please?	review
tell me where I can trackmy order	track_order
you arent helping, can i speak with a human agent?	contact_human_agent
i want to use my other account, help me switch them	switch_account
I want to obtain a invoice, can hou tell me where I can do it?	get_invoice
I purchased something, how can i modify my purchase?	change_order
I eed help obtaining a refund	get_refund
how can I inform of payment issues?	payment_issue
i want to track my orders, tell me how to do it	track_order
the concert was cancelled, what can i do to get a reimbursement?	get_refund
I want information, can you call Client Service?	contact_customer_service
I don't have a user account, register	create_account
I want to submit a consumer complaint, what should I do?	complaint
ask an agent for information about the delivery options	delivery_options
can you tell me if I can have more than one profile?	create_account
can you find information about your money back policy?	check_refund_policy
i want to modify my profile, how can i do it?	edit_account
I changed my mind and I want to cancel my account	delete_account
I want to tack my orders	track_order
an error message pops when i try to make a payment, what can i do?	payment_issue
how do I solve a problem making a payment?	payment_issue
how to see some invoices	get_invoice
I have a issue when trying to make a payment, how can I notify it?	payment_issue
how do I check your money back policy?	check_refund_policy
i lost my fucking bills and id like to see them	check_invoices
can you send me some invoices?	get_invoice
how do I view the status of my refund?	track_refund
can I register two profiles with a single email?	create_account
